[NADP] (uM),[G6P] (uM),[NADPH] (uM),[PGLn] (uM),[ATP] (uM),Rate_V,V_fig_i,Specific_Activity,Article,Fig,X_axis_label,Experiment_date,pH,Temperature,Apparent_Keq,NADP raw,G6P raw,NADPH raw,PGLn raw,Rate V raw,Notes
200,50,75,0,0,84.8,11,51.25,Ulusu2012,6,G6P,,8,37,87.2347,0.2,20.07064,0.075,0,0.60438,
200,400,100,0,0,175.06,11,51.25,Ulusu2012,6,G6P,,8,37,87.2347,0.2,2.51843,0.1,0,0.29275,
200,200,100,0,0,146.68,11,51.25,Ulusu2012,6,G6P,,8,37,87.2347,0.2,5.00614,0.1,0,0.34941,
200,150,100,0,0,130.55,11,51.25,Ulusu2012,6,G6P,,8,37,87.2347,0.2,6.67998,0.1,0,0.39258,
200,100,100,0,0,107.31,11,51.25,Ulusu2012,6,G6P,,8,37,87.2347,0.2,9.99693,0.1,0,0.47757,
200,50,100,0,0,74.05,11,51.25,Ulusu2012,6,G6P,,8,37,87.2347,0.2,20.02457,0.1,0,0.69207,
0,0,50,200,0,-0.0548,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,0,50,4.99188,18.26219,raw [PGLn] given as mM-1. No specific activity reported so 5 used as placeholder.
0,0,50,150,0,-0.0481,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,0,50,6.56853,20.80233,
0,0,50,100,0,-0.0354,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,0,50,9.96522,28.26335,
0,50,50,200,0,-0.0354,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,50,50,4.98744,28.26238,
0,50,50,150,0,-0.0297,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,50,50,6.58505,33.6277,
0,50,50,100,0,-0.0189,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,50,50,9.97642,53.04547,
0,100,50,200,0,-0.0225,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,100,50,5.00251,44.34868,
0,100,50,150,0,-0.0186,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,100,50,6.58946,53.71447,
0,100,50,100,0,-0.012,12,5,Beutler1986,3,PGLn,,7,25,4.25043,0,100,50,9.96294,83.39388,
0,0,100,2000,0,-21.88,13,5,Gordon1994,1A,PGLn,,7,25,4.25043,,,,0.51057,0.0457,[Metabolites] given in figure captions. Raw [metab] values given as mM-1. Raw rate value given as 1/V. No specific activity reported so 5 used as placeholder.; no temp published; guessed to be 25C
0,0,100,1000,0,-17.53,13,5,Gordon1994,1A,PGLn,,7,25,4.25043,,,,1.00126,0.05704,
0,0,100,500,0,-12.16,13,5,Gordon1994,1A,PGLn,,7,25,4.25043,,,,2.01845,0.08223,
0,0,100,250,0,-7.75,13,5,Gordon1994,1A,PGLn,,7,25,4.25043,,,,4.0228,0.12899,
0,0,50,2000,0,-25.9,14,5,Gordon1994,1B,NADPH,,7,25,4.25043,,,0.01944,,0.03861,
0,0,33.3,2000,0,-24.2,14,5,Gordon1994,1B,NADPH,,7,25,4.25043,,,0.02951,,0.04132,
0,0,22.2,2000,0,-21.77,14,5,Gordon1994,1B,NADPH,,7,25,4.25043,,,0.04473,,0.04594,
0,0,14.8,2000,0,-19.61,14,5,Gordon1994,1B,NADPH,,7,25,4.25043,,,0.06693,,0.051,
0,0,9.88,2000,0,-16.44,14,5,Gordon1994,1B,NADPH,,7,25,4.25043,,,0.10075,,0.06083,
10,100,0,0,0,6.03302,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
200,100,0,0,0,13.0377,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
20,100,0,0,0,9.18996,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
40,100,0,0,0,11.3612,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
80,100,0,0,0,11.8539,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
200,10,0,0,0,2.37281,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
20,10,0,0,0,2.16298,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
40,10,0,0,0,2.67423,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
80,10,0,0,0,2.55749,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
200,20,0,0,0,4.17179,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
20,20,0,0,0,4.5353,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
40,20,0,0,0,4.68898,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
80,20,0,0,0,4.96468,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
10,40,0,0,0,4.17113,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
200,40,0,0,0,8.11025,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
20,40,0,0,0,6.14699,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
40,40,0,0,0,7.20144,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
80,40,0,0,0,7.874,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
10,500,0,0,0,7.42563,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
200,500,0,0,0,16.6392,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
20,500,0,0,0,12.2672,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
40,500,0,0,0,15.572,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
80,500,0,0,0,17.3496,15,348,Mbata2026,1a,NADP,26-02-05,7.2,37,13.6549,,,,,,
100,100,0,0,0,20.0292,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,20,0,0,0,9.45066,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,40,0,0,0,13.9783,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,500,0,0,0,23.5011,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,100,10,0,0,18.5611,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,20,10,0,0,8.99681,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,40,10,0,0,13.0715,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,500,10,0,0,23.7711,17,348,Mbata2026,1c,G6P,26-02-08,7.2,37,13.6549,,,,,,
100,10,0,0,0,7.84457,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,2.5,0,0,0,2.64596,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,20,0,0,0,12.8987,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,40,0,0,0,17.6608,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,5,0,0,0,4.69246,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,10,10,0,0,7.25721,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,2.5,10,0,0,1.63479,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,20,10,0,0,11.1303,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,40,10,0,0,16.3052,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,5,10,0,0,4.43729,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,2.5,30,0,0,2.70006,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,5,30,0,0,2.79941,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,10,30,0,0,4.21798,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,20,30,0,0,7.47075,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
100,40,30,0,0,11.9374,18,348,Mbata2026,1d,G6P,26-02-10,7.2,37,13.6549,,,,,,
1.25,500,0,0,0,1.45983,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
10,500,0,0,0,9.74643,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
2.5,500,0,0,0,2.94796,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
20,500,0,0,0,12.5638,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
5,500,0,0,0,5.70634,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
1.25,500,10,0,0,1.70216,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
10,500,10,0,0,6.69178,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
2.5,500,10,0,0,2.41002,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
20,500,10,0,0,10.9102,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
5,500,10,0,0,4.27575,19,348,Mbata2026,1e,NADP,26-02-10,7.2,37,13.6549,,,,,,
10,500,0,0,400,8.19486,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
200,500,0,0,400,18.7949,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,500,0,0,400,14.3266,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
50,500,0,0,400,17.4803,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
10,500,0,0,0,8.19068,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
200,500,0,0,0,19.5833,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,500,0,0,0,13.5949,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
50,500,0,0,0,16.6801,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
10,500,0,0,10000,5.63475,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
200,500,0,0,10000,12.3312,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,500,0,0,10000,8.5009,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
50,500,0,0,10000,9.94756,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
10,500,0,0,2000,7.61428,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
200,500,0,0,2000,16.6249,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,500,0,0,2000,12.2878,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
50,500,0,0,2000,15.5258,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
10,500,0,0,5000,7.05277,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
200,500,0,0,5000,15.2314,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,500,0,0,5000,11.2652,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
50,500,0,0,5000,13.1575,20,348,Mbata2026,1g,NADP,26-02-16,7.2,37,13.6549,,,,,,
1.8,100,0,0,0,0.990107,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
10,100,0,0,0,5.38646,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
14,100,0,0,0,6.19005,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
2.5,100,0,0,0,1.3667,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
20,100,0,0,0,7.15651,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
3.5,100,0,0,0,2.00868,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
5,100,0,0,0,2.70995,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
7,100,0,0,0,3.64951,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
1.8,100,10,0,0,0.467564,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
10,100,10,0,0,3.49511,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
14,100,10,0,0,4.62064,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
2.5,100,10,0,0,0.788308,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
20,100,10,0,0,5.83385,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
3.5,100,10,0,0,1.11117,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
5,100,10,0,0,1.8049,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
7,100,10,0,0,2.79616,21,348,Mbata2026,1i,NADP,26-03-12,7.2,37,13.6549,,,,,,
10,100,30,0,0,1.49778,22,348,Mbata2026,1j,NADP,26-03-19,7.2,37,13.6549,,,,,,
2.5,100,30,0,0,0.578751,22,348,Mbata2026,1j,NADP,26-03-19,7.2,37,13.6549,,,,,,
3.5,100,30,0,0,0.677204,22,348,Mbata2026,1j,NADP,26-03-19,7.2,37,13.6549,,,,,,
5,100,30,0,0,0.884476,22,348,Mbata2026,1j,NADP,26-03-19,7.2,37,13.6549,,,,,,
7,100,30,0,0,1.30292,22,348,Mbata2026,1j,NADP,26-03-19,7.2,37,13.6549,,,,,,
7,500,30,0,0,3.06145,23,348,Mbata2026,1k,NADP,26-03-22,7.2,37,13.6549,,,,,,
10,500,30,0,0,3.62208,23,348,Mbata2026,1k,NADP,26-03-22,7.2,37,13.6549,,,,,,
16,1000,0,0,0,6.76653,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
32,1000,0,0,0,13.4464,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
64,1000,0,0,0,17.4375,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
8,1000,0,0,0,2.95131,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
16,1000,10,0,0,6.33688,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
32,1000,10,0,0,9.89677,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
4,1000,10,0,0,1.49293,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
64,1000,10,0,0,12.6406,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
8,1000,10,0,0,3.18606,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
16,1000,30,0,0,6.02849,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
32,1000,30,0,0,10.4544,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
4,1000,30,0,0,1.03533,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
64,1000,30,0,0,13.9929,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
8,1000,30,0,0,1.68513,24,96.2,Mbata2026,1l,NADP,26-07-06,7.2,37,13.6549,,,,,,
200,160,0,0,0,10.468,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,20,0,0,0,3.9663,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,320,0,0,0,11.6043,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,40,0,0,0,6.25936,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,80,0,0,0,8.77131,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,160,10,0,0,9.83385,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,20,10,0,0,3.51377,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,320,10,0,0,11.429,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,40,10,0,0,5.6908,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,80,10,0,0,7.96266,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,160,30,0,0,6.45055,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,20,30,0,0,1.91116,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,320,30,0,0,7.9729,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,40,30,0,0,3.87884,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
200,80,30,0,0,5.87012,25,96.2,Mbata2026,1m,G6P,26-07-06,7.2,37,13.6549,,,,,,
10,500,0,0,0,8.18525,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
2.5,500,0,0,0,2.63301,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
20,500,0,0,0,11.0239,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
5,500,0,0,0,5.20548,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
10,500,10,0,0,6.99983,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
2.5,500,10,0,0,2.30565,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
20,500,10,0,0,8.76487,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
5,500,10,0,0,3.81371,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
10,500,30,0,0,4.84753,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
20,500,30,0,0,9.8275,26,348,Mbata2026,1f,NADP,26-02-13,7.2,37,13.6549,,,,,,
10,100,0,0,0,7.4519,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
2.5,100,0,0,0,2.51862,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,100,0,0,0,10.1098,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
5,100,0,0,0,4.82153,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
10,100,10,0,0,6.45125,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
2.5,100,10,0,0,1.70922,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,100,10,0,0,9.97616,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
5,100,10,0,0,2.95469,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
5,100,30,0,0,0.881761,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
10,100,30,0,0,4.44268,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
20,100,30,0,0,6.2648,27,348,Mbata2026,1h,NADP,26-02-16,7.2,37,13.6549,,,,,,
200,160,0,0,0,32.1392,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,20,0,0,0,13.2512,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,30,0,0,0,16.3466,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,40,0,0,0,18.658,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,80,0,0,0,24.6021,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,160,0,0,1000,30.6987,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,20,0,0,1000,13.1349,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,30,0,0,1000,15.7663,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,40,0,0,1000,19.8936,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,80,0,0,1000,25.574,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,160,0,0,2000,25.9286,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,20,0,0,2000,12.1259,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,30,0,0,2000,16.1966,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,40,0,0,2000,17.5668,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,80,0,0,2000,23.4335,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,160,0,0,4000,24.9762,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,20,0,0,4000,10.7954,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,30,0,0,4000,12.3417,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,40,0,0,4000,14.2388,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
200,80,0,0,4000,21.1884,28,96.2,Mbata2026,1i,G6P,26-07-08,7.2,37,13.6549,,,,,,
16,1000,0,0,0,29.1554,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
32,1000,0,0,0,41.3006,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
4,1000,0,0,0,6.49822,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
6,1000,0,0,0,10.5968,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
8,1000,0,0,0,13.8973,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
16,1000,0,0,1000,25.5517,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
32,1000,0,0,1000,34.7815,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
4,1000,0,0,1000,7.03659,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
6,1000,0,0,1000,11.1576,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
8,1000,0,0,1000,14.1748,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
16,1000,0,0,2000,24.3221,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
32,1000,0,0,2000,33.5317,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
4,1000,0,0,2000,6.87837,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
6,1000,0,0,2000,11.3662,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
8,1000,0,0,2000,14.1085,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
16,1000,0,0,4000,27.1541,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
32,1000,0,0,4000,38.8228,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
4,1000,0,0,4000,6.76026,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
6,1000,0,0,4000,10.5844,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
8,1000,0,0,4000,13.8114,29,96.2,Mbata2026,1j,NADP,26-07-08,7.2,37,13.6549,,,,,,
